CSA,CBSA,MDIV,STCOU,NAME,LSAD,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,NPOPCHG2023,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023
101,,,,"Abilene-Sweetwater, TX",Combined Statistical Area,191296,191604,192436,194125,195897,308,832,1689,1772,550,2343,2452,2499,486,2606,2519,2262,64,-263,-67,237,2,162,500,562,193,880,1271,973,195,1042,1771,1535,49,53,-15,0
101,10180,,,"Abilene, TX",Metropolitan Statistical Area,176562,176883,177831,179665,181591,321,948,1834,1926,500,2145,2273,2321,431,2378,2303,2053,69,-233,-30,268,2,142,472,536,205,990,1403,1121,207,1132,1875,1657,45,49,-11,1
101,10180,,48059,"Callahan County, TX",County or equivalent,13705,13747,14098,14247,14374,42,351,149,127,27,129,139,143,49,234,232,215,-22,-105,-93,-72,0,0,3,3,70,475,238,198,70,475,241,201,-6,-19,1,-2
101,10180,,48253,"Jones County, TX",County or equivalent,19654,19682,19811,20271,20381,28,129,460,110,40,148,158,163,55,288,259,248,-15,-140,-101,-85,0,4,5,6,39,268,522,190,39,272,527,196,4,-3,34,-1
101,10180,,48441,"Taylor County, TX",County or equivalent,143203,143454,143922,145147,146836,251,468,1225,1689,433,1868,1976,2015,327,1856,1812,1590,106,12,164,425,2,138,464,527,96,247,643,733,98,385,1107,1260,47,71,-46,4
101,45020,,,"Sweetwater, TX",Micropolitan Statistical Area,14734,14721,14605,14460,14306,-13,-116,-145,-154,50,198,179,178,55,228,216,209,-5,-30,-37,-31,0,20,28,26,-12,-110,-132,-148,-12,-90,-104,-122,4,4,-4,-1
101,45020,,48353,"Nolan County, TX",County or equivalent,14734,14721,14605,14460,14306,-13,-116,-145,-154,50,198,179,178,55,228,216,209,-5,-30,-37,-31,0,20,28,26,-12,-110,-132,-148,-12,-90,-104,-122,4,4,-4,-1
104,,,,"Albany-Schenectady, NY",Combined Statistical Area,1190701,1190423,1195607,1192529,1192181,-278,5184,-3078,-348,2798,10890,11217,11215,3240,13004,13295,12617,-442,-2114,-2078,-1402,19,897,2241,2153,312,5973,-2672,-1107,331,6870,-431,1046,-167,428,-569,8
104,10580,,,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,899247,899724,904824,903595,904682,477,5100,-1229,1087,2168,8397,8581,8581,2322,9223,9360,8874,-154,-826,-779,-293,19,844,2103,2012,769,4765,-2109,-643,788,5609,-6,1369,-157,317,-444,11
104,10580,,36001,"Albany County, NY",County or equivalent,314851,314018,316178,315921,316659,-833,2160,-257,738,765,2813,2862,2861,861,3192,3112,2943,-96,-379,-250,-82,18,479,1182,1140,-729,1988,-1026,-328,-711,2467,156,812,-26,72,-163,8
104,10580,,36083,"Rensselaer County, NY",County or equivalent,161124,160871,160622,159421,159305,-253,-249,-1201,-116,398,1527,1496,1496,412,1687,1759,1674,-14,-160,-263,-178,0,129,344,330,-255,-337,-1243,-267,-255,-208,-899,63,16,119,-39,-1
104,10580,,36091,"Saratoga County, NY",County or equivalent,235502,235793,237846,238468,238711,291,2053,622,243,509,2024,2123,2122,512,2197,2312,2177,-3,-173,-189,-55,0,101,236,224,225,2064,733,72,225,2165,969,296,69,61,-158,2
104,10580,,36093,"Schenectady County, NY",County or equivalent,158052,159289,160046,159694,159902,1237,757,-352,208,440,1771,1833,1835,476,1783,1821,1730,-36,-12,12,105,1,134,333,310,1494,560,-625,-210,1495,694,-292,100,-222,75,-72,3
104,10580,,36095,"Schoharie County, NY",County or equivalent,29718,29753,30132,30091,30105,35,379,-41,14,56,262,267,267,61,364,356,350,-5,-102,-89,-83,0,1,8,8,34,490,52,90,34,491,60,98,6,-10,-12,-1
104,11220,,,"Amsterdam, NY",Micropolitan Statistical Area,49527,49485,49482,49333,49368,-42,-3,-149,35,155,592,602,603,140,741,737,704,15,-149,-135,-101,0,9,24,27,-61,111,-8,111,-61,120,16,138,4,26,-30,-2
104,11220,,36057,"Montgomery County, NY",County or equivalent,49527,49485,49482,49333,49368,-42,-3,-149,35,155,592,602,603,140,741,737,704,15,-149,-135,-101,0,9,24,27,-61,111,-8,111,-61,120,16,138,4,26,-30,-2
104,24020,,,"Glens Falls, NY",Metropolitan Statistical Area,127034,126700,126593,126237,125427,-334,-107,-356,-810,247,1029,1090,1087,381,1584,1649,1561,-134,-555,-559,-474,0,15,54,47,-197,363,228,-382,-197,378,282,-335,-3,70,-79,-1
104,24020,,36113,"Warren County, NY",County or equivalent,65737,65609,65735,65427,65380,-128,126,-308,-47,106,507,526,525,200,810,876,823,-94,-303,-350,-298,0,10,24,20,-45,395,61,235,-45,405,85,255,11,24,-43,-4
104,24020,,36115,"Washington County, NY",County or equivalent,61297,61091,60858,60810,60047,-206,-233,-48,-763,141,522,564,562,181,774,773,738,-40,-252,-209,-176,0,5,30,27,-152,-32,167,-617,-152,-27,197,-590,-14,46,-36,3
104,24100,,,"Gloversville, NY",Micropolitan Statistical Area,53333,53100,52747,52256,52234,-233,-353,-491,-22,113,440,481,481,181,739,791,757,-68,-299,-310,-276,0,6,16,16,-151,-87,-180,237,-151,-81,-164,253,-14,27,-17,1
104,24100,,36035,"Fulton County, NY",County or equivalent,53333,53100,52747,52256,52234,-233,-353,-491,-22,113,440,481,481,181,739,791,757,-68,-299,-310,-276,0,6,16,16,-151,-87,-180,237,-151,-81,-164,253,-14,27,-17,1
104,26460,,,"Hudson, NY",Micropolitan Statistical Area,61560,61414,61961,61108,60470,-146,547,-853,-638,115,432,463,463,216,717,758,721,-101,-285,-295,-258,0,23,44,51,-48,821,-603,-430,-48,844,-559,-379,3,-12,1,-1
104,26460,,36021,"Columbia County, NY",County or equivalent,61560,61414,61961,61108,60470,-146,547,-853,-638,115,432,463,463,216,717,758,721,-101,-285,-295,-258,0,23,44,51,-48,821,-603,-430,-48,844,-559,-379,3,-12,1,-1
105,,,,"Albuquerque-Santa Fe-Los Alamos, NM",Combined Statistical Area,1162532,1163633,1165742,1166212,1168363,1101,2109,470,2151,2594,10701,10751,10726,2837,12646,13074,11248,-243,-1945,-2323,-522,98,1341,3489,2406,1059,2183,-268,311,1157,3524,3221,2717,187,530,-428,-44
105,10740,,,"Albuquerque, NM",Metropolitan Statistical Area,916545,917579,919392,920138,922296,1034,1813,746,2158,2139,8699,8784,8771,2256,9950,10273,8733,-117,-1251,-1489,38,85,1051,2622,1829,871,1575,-46,324,956,2626,2576,2153,195,438,-341,-33
105,10740,,35001,"Bernalillo County, NM",County or equivalent,676452,676853,675286,672957,671586,401,-1567,-2329,-1371,1608,6393,6480,6473,1699,7369,7503,6250,-91,-976,-1023,223,75,918,2263,1603,234,-1979,-3209,-3170,309,-1061,-946,-1567,183,470,-360,-27
105,10740,,35043,"Sandoval County, NM",County or equivalent,148834,149290,151478,153597,155936,456,2188,2119,2339,310,1317,1307,1307,334,1473,1551,1378,-24,-156,-244,-71,3,50,193,134,478,2321,2139,2280,481,2371,2332,2414,-1,-27,31,-4
105,10740,,35057,"Torrance County, NM",County or equivalent,15052,15062,15313,15383,15633,10,251,70,250,30,159,154,154,34,213,245,238,-4,-54,-91,-84,1,8,0,0,10,308,165,336,11,316,165,336,3,-11,-4,-2
105,10740,,35061,"Valencia County, NM",County or equivalent,76207,76374,77315,78201,79141,167,941,886,940,191,830,843,837,189,895,974,867,2,-65,-131,-30,6,75,166,92,149,925,859,878,155,1000,1025,970,10,6,-8,0
105,21580,,,"Española, NM",Micropolitan Statistical Area,40360,40271,40216,39991,39876,-89,-55,-225,-115,81,428,407,405,103,555,597,535,-22,-127,-190,-130,0,25,102,71,-68,18,-120,-54,-68,43,-18,17,1,29,-17,-2
105,21580,,35039,"Rio Arriba County, NM",County or equivalent,40360,40271,40216,39991,39876,-89,-55,-225,-115,81,428,407,405,103,555,597,535,-22,-127,-190,-130,0,25,102,71,-68,18,-120,-54,-68,43,-18,17,1,29,-17,-2
105,29780,,,"Las Vegas, NM",Micropolitan Statistical Area,31386,31322,31344,31049,30791,-64,22,-295,-258,65,257,250,251,89,388,451,427,-24,-131,-201,-176,0,9,49,39,-39,128,-129,-121,-39,137,-80,-82,-1,16,-14,0
