CSAFP,Name,Pop2020,Pop2021,Pop2022,Pop2023
101,"Abilene-Sweetwater, TX",191296,192436,194125,195897
104,"Albany-Schenectady, NY",1190701,1195607,1192529,1192181
105,"Albuquerque-Santa Fe-Los Alamos, NM",1162532,1165742,1166212,1168363
106,"Allentown-Bethlehem-East Stroudsburg, PA-NJ",1030219,1038811,1038021,1039608
107,"Altoona-Huntingdon, PA",166914,166108,164031,163787
108,"Amarillo-Borger, TX",289296,290242,290811,292428
118,"Appleton-Oshkosh-Neenah, WI",414888,414483,415669,418168
120,"Asheville-Waynesville-Brevard, NC",502005,506622,509957,513720
122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",6977979,7043949,7137567,7221137
132,"Baton Rouge-Hammond, LA",1003742,1008134,1009146,1011725
142,"Birmingham-Cullman-Talladega, AL",1361016,1362337,1362504,1367706
144,"Bloomington-Bedford, IN",206053,206756,206339,205958
145,"Bloomington-Pontiac, IL",206783,206878,206435,205761
146,"Bloomsburg-Berwick-Sunbury, PA",256923,256262,255662,255178
147,"Boise City-Mountain Home-Ontario, ID-OR",850335,884067,899533,913704
148,"Boston-Worcester-Providence, MA-RI-NH",8352751,8321481,8320220,8345067
150,"Bowling Green-Glasgow-Franklin, KY",254011,257326,261224,264525
152,"Brookings-Crescent City, OR-CA",51195,51303,50725,49885
154,"Brownsville-Harlingen-Raymondville, TX",441184,442928,445165,446747
160,"Buffalo-Cheektowaga-Olean, NY",1243931,1241170,1234940,1231204
161,"Burlington-Fort Madison, IA-IL",78854,78069,77239,76906
162,"Burlington-South Burlington-Barre, VT",285363,287229,287681,288084
163,"Cape Coral-Fort Myers-Naples, FL",1188323,1230595,1273761,1295002
164,"Cape Girardeau-Sikeston, MO-IL",148150,147734,147836,147934
166,"Carbondale-Marion-Herrin, IL",120118,119487,119021,118847
168,"Cedar Rapids-Iowa City, IA",451952,453566,455088,455756
169,"Champaign-Urbana-Danville, IL",310279,310005,308203,307260
170,"Charleston-Huntington-Ashland, WV-OH-KY",660755,653173,646774,643394
172,"Charlotte-Concord, NC-SC",3232231,3281600,3332098,3387115
174,"Chattanooga-Cleveland-Dalton, TN-GA-AL",975229,982105,992121,1003363
176,"Chicago-Naperville, IL-IN-WI",9987897,9891836,9811445,9794558
178,"Cincinnati-Wilmington, OH-KY-IN",2291803,2294742,2300515,2313417
184,"Cleveland-Akron-Canton, OH",3769741,3745135,3734089,3732803
190,"Columbia-Jefferson City-Moberly, MO",410844,412311,414108,415747
192,"Columbia-Sumter-Orangeburg, SC",1056956,1063441,1073464,1084112
194,"Columbus-Auburn-Opelika, GA-AL",563970,564078,563969,566030
198,"Columbus-Marion-Zanesville, OH",2606494,2610332,2626328,2646917
204,"Corpus Christi-Kingsville-Alice, TX",522772,524056,522647,523902
206,"Dallas-Fort Worth, TX-OK",8157915,8307992,8491484,8654750
209,"Davenport-Moline, IA-IL",474017,470796,468089,467817
212,"Dayton-Springfield-Kettering, OH",1088835,1087869,1085399,1086998
216,"Denver-Aurora-Greeley, CO",3623560,3644997,3663795,3691404
218,"Des Moines-West Des Moines-Ames, IA",890362,902611,909740,917964
220,"Detroit-Warren-Ann Arbor, MI",5425089,5393557,5370578,5361927
221,"Dixon-Sterling, IL",89845,89497,88493,88152
222,"Dothan-Enterprise-Ozark, AL",253782,255117,256812,258863
228,"Duluth-Grand Rapids, MN-WI",325733,325115,325522,326968
232,"Eau Claire-Menomonie, WI",217438,217125,219161,220667
233,"Edwards-Rifle, CO",134762,135218,134321,133728
236,"Elmira-Corning, NY",177713,176126,174146,173487
238,"El Paso-Las Cruces, TX-NM",1088431,1092506,1094185,1098541
240,"Erie-Meadville, PA",354830,352466,351245,349572
241,"Evansville-Henderson, IN-KY",327050,327257,326663,327562
242,"Fairmont-Clarksburg, WV",146641,145721,144658,144514
244,"Fargo-Wahpeton, ND-MN",272874,277996,281505,285484
246,"Fayetteville-Lumberton-Pinehurst, NC",680191,687343,689352,693299
248,"Findlay-Tiffin, OH",129996,129628,129308,129231
250,"Florence-Muscle Shoals-Russellville, AL",182906,184495,185778,186977
258,"Fort Wayne-Huntington-Auburn, IN",645379,650055,653289,657456
260,"Fresno-Hanford-Corcoran, CA",1317390,1324844,1328675,1332702
264,"Gainesville-Lake City, FL",408935,414293,420166,425189
266,"Grand Rapids-Wyoming, MI",1484952,1491195,1494896,1502552
267,"Green Bay-Shawano, WI",373391,374035,375610,377217
268,"Greensboro--Winston-Salem--High Point, NC",1695327,1706731,1721518,1736099
273,"Greenville-Spartanburg-Anderson, SC",1511915,1532676,1561447,1590636
274,"Greenville-Washington, NC",214901,216697,218010,219600
276,"Harrisburg-York-Lebanon, PA",1295243,1308360,1314242,1321695
277,"Harrisonburg-Staunton-Stuarts Draft, VA",261007,262074,263242,264994
279,"Hattiesburg-Laurel, MS",237500,237823,237637,238003
284,"Hot Springs-Malvern, AR",133217,133472,133131,133042
288,"Houston-Pasadena, TX",7339637,7437420,7564372,7706626
290,"Huntsville-Decatur-Albertville, AL-TN",852765,866055,879407,895383
292,"Idaho Falls-Rexburg-Blackfoot, ID",271713,279543,284525,287460
294,"Indianapolis-Carmel-Muncie, IN",2599868,2618667,2632422,2651953
296,"Ithaca-Cortland, NY",152537,152379,150380,149310
298,"Jackson-Vicksburg-Brookhaven, MS",699611,693106,688102,687257
300,"Jacksonville-Kingsland-Palatka, FL-GA",1733935,1771622,1808036,1847313
304,"Johnson City-Kingsport-Bristol, TN-VA",585044,586426,592555,598800
306,"Johnstown-Somerset, PA",207621,205226,204058,202865
308,"Jonesboro-Paragould, AR",179945,180826,181724,183133
309,"Joplin-Miami, MO-OK-KS",231068,232330,233466,235074
310,"Kalamazoo-Battle Creek-Portage, MI",456916,455245,455094,456459
312,"Kansas City-Overland Park-Kansas City, MO-KS",2528655,2540044,2544942,2557474
313,"Keene-Brattleboro, NH-VT",122369,122996,123362,123669
314,"Kennewick-Richland-Walla Walla, WA",366201,370912,373264,375821
315,"Knoxville-Morristown-Sevierville, TN",1156884,1172121,1190403,1207137
317,"La Crosse-Onalaska-Sparta, WI-MN",216606,215150,215936,216389
318,"Lafayette-New Iberia-Opelousas, LA",560927,562049,562640,563411
320,"Lafayette-West Lafayette-Frankfort, IN",281601,282709,283340,284211
324,"Lake Charles-DeRidder, LA",291206,279049,275737,276909
330,"Lansing-East Lansing-Owosso, MI",541297,527587,539950,541202
332,"Las Vegas-Henderson, NV",2317063,2348634,2377304,2392293
334,"Lawton-Duncan, OK",169498,170876,171290,171015
