fid,OBJECTID,FEATURE,NAME,ST_ABBREV,FIPS,PLACE_FIPS,geo_id,city_name,city_pop,fid_2,CSAFP,GEOID,GEOIDFQ,NAME_2,NAMELSAD,LSAD,MTFCC,ALAND,AWATER,INTPTLAT,INTPTLON,csa_name,csa_pop
"514","514","10,000 - 49,999",Marysville,WA,"53061","43955","5343955","Marysville, Washington","72922","96","500","500",330M700US500,"Seattle-Tacoma, WA","Seattle-Tacoma, WA CSA",M0,G3100,"31828056559","3318949462","+47.4819860","-122.1755863","Seattle-Tacoma, WA","4993725"
"538","538","50,000 - 99,999",Everett,WA,"53061","22640","5322640","Everett, Washington","111147","96","500","500",330M700US500,"Seattle-Tacoma, WA","Seattle-Tacoma, WA CSA",M0,G3100,"31828056559","3318949462","+47.4819860","-122.1755863","Seattle-Tacoma, WA","4993725"
"663","663","10,000 - 49,999",Kirkland,WA,"53033","35940","5335940","Kirkland, Washington","91190","96","500","500",330M700US500,"Seattle-Tacoma, WA","Seattle-Tacoma, WA CSA",M0,G3100,"31828056559","3318949462","+47.4819860","-122.1755863","Seattle-Tacoma, WA","4993725"
"672","672","10,000 - 49,999",Redmond,WA,"53033","57535","5357535","Redmond, Washington","80275","96","500","500",330M700US500,"Seattle-Tacoma, WA","Seattle-Tacoma, WA CSA",M0,G3100,"31828056559","3318949462","+47.4819860","-122.1755863","Seattle-Tacoma, WA","4993725"
"685","685","500,000 - 999,999",Seattle,WA,"53033","63000","5363000","Seattle, Washington","755081","96","500","500",330M700US500,"Seattle-Tacoma, WA","Seattle-Tacoma, WA CSA",M0,G3100,"31828056559","3318949462","+47.4819860","-122.1755863","Seattle-Tacoma, WA","4993725"
"693","693","10,000 - 49,999",Sammamish,WA,"53033","61115","5361115","Sammamish, Washington","65126","96","500","500",330M700US500,"Seattle-Tacoma, WA","Seattle-Tacoma, WA CSA",M0,G3100,"31828056559","3318949462","+47.4819860","-122.1755863","Seattle-Tacoma, WA","4993725"
"697","697","100,000 - 249,999",Bellevue,WA,"53033","05210","5305210","Bellevue, Washington","151579","96","500","500",330M700US500,"Seattle-Tacoma, WA","Seattle-Tacoma, WA CSA",M0,G3100,"31828056559","3318949462","+47.4819860","-122.1755863","Seattle-Tacoma, WA","4993725"
"776","776","50,000 - 99,999",Renton,WA,"53033","57745","5357745","Renton, Washington","104505","96","500","500",330M700US500,"Seattle-Tacoma, WA","Seattle-Tacoma, WA CSA",M0,G3100,"31828056559","3318949462","+47.4819860","-122.1755863","Seattle-Tacoma, WA","4993725"
"838","838","50,000 - 99,999",Kent,WA,"53033","35415","5335415","Kent, Washington","133381","96","500","500",330M700US500,"Seattle-Tacoma, WA","Seattle-Tacoma, WA CSA",M0,G3100,"31828056559","3318949462","+47.4819860","-122.1755863","Seattle-Tacoma, WA","4993725"
"870","870","50,000 - 99,999",Federal Way,WA,"53033","23515","5323515","Federal Way, Washington","97689","96","500","500",330M700US500,"Seattle-Tacoma, WA","Seattle-Tacoma, WA CSA",M0,G3100,"31828056559","3318949462","+47.4819860","-122.1755863","Seattle-Tacoma, WA","4993725"
"886","886","10,000 - 49,999",Auburn,WA,"53033","03180","5303180","Auburn, Washington","84887","96","500","500",330M700US500,"Seattle-Tacoma, WA","Seattle-Tacoma, WA CSA",M0,G3100,"31828056559","3318949462","+47.4819860","-122.1755863","Seattle-Tacoma, WA","4993725"
