csafp,csa_name,CSA_Pop,city_name,City_Pop
101,"Abilene-Sweetwater, TX",195897,Abilene,125182
104,"Albany-Schenectady, NY",1192181,NA,NA
105,"Albuquerque-Santa Fe-Los Alamos, NM",1168363,Las Vegas,641903
106,"Allentown-Bethlehem-East Stroudsburg, PA-NJ",1039608,Fullerton,143617
107,"Altoona-Huntingdon, PA",163787,NA,NA
108,"Amarillo-Borger, TX",292428,Amarillo,200393
118,"Appleton-Oshkosh-Neenah, WI",418168,NA,NA
120,"Asheville-Waynesville-Brevard, NC",513720,NA,NA
122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",7221137,Dallas,1304379
132,"Baton Rouge-Hammond, LA",1011725,Baton Rouge,227470
142,"Birmingham-Cullman-Talladega, AL",1367706,Birmingham,200733
144,"Bloomington-Bedford, IN",205958,NA,NA
145,"Bloomington-Pontiac, IL",205761,NA,NA
146,"Bloomsburg-Berwick-Sunbury, PA",255178,NA,NA
147,"Boise City-Mountain Home-Ontario, ID-OR",913704,Boise City,235684
148,"Boston-Worcester-Providence, MA-RI-NH",8345067,Boston,675647
150,"Bowling Green-Glasgow-Franklin, KY",264525,NA,NA
152,"Brookings-Crescent City, OR-CA",49885,NA,NA
154,"Brownsville-Harlingen-Raymondville, TX",446747,Brownsville,186738
160,"Buffalo-Cheektowaga-Olean, NY",1231204,Buffalo,278349
161,"Burlington-Fort Madison, IA-IL",76906,NA,NA
162,"Burlington-South Burlington-Barre, VT",288084,NA,NA
163,"Cape Coral-Fort Myers-Naples, FL",1295002,Cape Coral,194016
164,"Cape Girardeau-Sikeston, MO-IL",147934,Jackson,153701
166,"Carbondale-Marion-Herrin, IL",118847,NA,NA
168,"Cedar Rapids-Iowa City, IA",455756,Cedar Rapids,137710
169,"Champaign-Urbana-Danville, IL",307260,NA,NA
170,"Charleston-Huntington-Ashland, WV-OH-KY",643394,Charleston,150227
172,"Charlotte-Concord, NC-SC",3387115,Charlotte,874579
174,"Chattanooga-Cleveland-Dalton, TN-GA-AL",1003363,Cleveland,372624
176,"Chicago-Naperville, IL-IN-WI",9794558,Chicago,2746388
