csafp,csa_name,CSA_Pop,city_name,city_pop,lat,long
101,"Abilene-Sweetwater, TX",195897,"Abilene, Texas",130093,32.55035195,-99.71473729783544
104,"Albany-Schenectady, NY",1192181,"Schenectady, New York",68545,NA,NA
105,"Albuquerque-Santa Fe-Los Alamos, NM",1168363,"Santa Fe, New Mexico",89157,NA,NA
106,"Allentown-Bethlehem-East Stroudsburg, PA-NJ",1039608,"Bethlehem, Pennsylvania",77841,NA,NA
107,"Altoona-Huntingdon, PA",163787,NA,NA,NA,NA
108,"Amarillo-Borger, TX",292428,"Amarillo, Texas",203042,35.2098463,-101.84213563130253
118,"Appleton-Oshkosh-Neenah, WI",418168,"Appleton, Wisconsin",75861,NA,NA
120,"Asheville-Waynesville-Brevard, NC",513720,"Asheville, North Carolina",95053,NA,NA
122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",7221137,"Roswell, Georgia",91708,NA,NA
132,"Baton Rouge-Hammond, LA",1011725,"Baton Rouge, Louisiana",219563,NA,NA
142,"Birmingham-Cullman-Talladega, AL",1367706,NA,NA,NA,NA
144,"Bloomington-Bedford, IN",205958,"Bloomington, Indiana",74028,NA,NA
145,"Bloomington-Pontiac, IL",205761,"Bloomington, Illinois",78591,NA,NA
146,"Bloomsburg-Berwick-Sunbury, PA",255178,NA,NA,NA,NA
147,"Boise City-Mountain Home-Ontario, ID-OR",913704,"Caldwell, Idaho",68339,NA,NA
148,"Boston-Worcester-Providence, MA-RI-NH",8345067,"Fall River, Massachusetts",93864,NA,NA
150,"Bowling Green-Glasgow-Franklin, KY",264525,"Bowling Green, Kentucky",76215,NA,NA
152,"Brookings-Crescent City, OR-CA",49885,NA,NA,NA,NA
154,"Brownsville-Harlingen-Raymondville, TX",446747,"Harlingen, Texas",71512,NA,NA
160,"Buffalo-Cheektowaga-Olean, NY",1231204,"Cheektowaga CDP, New York",75443,NA,NA
161,"Burlington-Fort Madison, IA-IL",76906,NA,NA,NA,NA
162,"Burlington-South Burlington-Barre, VT",288084,NA,NA,NA,NA
163,"Cape Coral-Fort Myers-Naples, FL",1295002,"Fort Myers, Florida",97369,26.6856431,-81.90979952828879
164,"Cape Girardeau-Sikeston, MO-IL",147934,NA,NA,NA,NA
166,"Carbondale-Marion-Herrin, IL",118847,NA,NA,NA,NA
168,"Cedar Rapids-Iowa City, IA",455756,"Iowa City, Iowa",75671,41.6612561,-91.5299106
169,"Champaign-Urbana-Danville, IL",307260,"Champaign, Illinois",89191,NA,NA
170,"Charleston-Huntington-Ashland, WV-OH-KY",643394,NA,NA,NA,NA
172,"Charlotte-Concord, NC-SC",3387115,"Charlotte, North Carolina",911307,NA,NA
