CSAFP,geo_id,csa_name,csa_pop,city_pop,state,city
500,5363000,"Seattle-Tacoma, WA",4993725,755081,Washington,Seattle
518,5367000,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",785302,229451,Washington,Spokane
314,5335275,"Kennewick-Richland-Walla Walla, WA",375821,85155,Washington,Kennewick
440,4159000,"Portland-Vancouver-Salem, OR-WA",3286669,630395,Oregon,Portland
438,2360545,"Portland-Lewiston-South Portland, ME",680094,69104,Maine,Portland
228,2717000,"Duluth-Grand Rapids, MN-WI",326968,87693,Minnesota,Duluth
244,3825700,"Fargo-Wahpeton, ND-MN",285484,132400,North Dakota,Fargo
148,2507000,"Boston-Worcester-Providence, MA-RI-NH",8345067,652442,Massachusetts,Boston
104,3601000,"Albany-Schenectady, NY",1192181,101220,New York,Albany
532,3673000,"Syracuse-Auburn, NY",727441,145573,New York,Syracuse
521,2567000,"Springfield-Amherst Town-Northampton, MA",693629,153672,Massachusetts,Springfield
464,3663000,"Rochester-Batavia-Seneca Falls, NY",1141965,207264,New York,Rochester
378,2743000,"Minneapolis-St. Paul, MN-WI",4104786,425142,Minnesota,Minneapolis
267,5531000,"Green Bay-Shawano, WI",377217,105734,Wisconsin,Green Bay
232,5522300,"Eau Claire-Menomonie, WI",220667,70469,Wisconsin,Eau Claire
160,3611000,"Buffalo-Cheektowaga-Olean, NY",1231204,274686,New York,Buffalo
118,5502375,"Appleton-Oshkosh-Neenah, WI",418168,75861,Wisconsin,Appleton
147,1608830,"Boise City-Mountain Home-Ontario, ID-OR",913704,235416,Idaho,Boise City
366,4147000,"Medford-Grants Pass, OR",308589,85100,Oregon,Medford
405,0952000,"New Haven-Hartford-Waterbury, CT",2665618,135307,Connecticut,New Haven
462,2754880,"Rochester-Austin-Winona, MN",318856,122404,Minnesota,Rochester
452,4652980,"Rapid City-Spearfish, SD",184027,79409,South Dakota,Rapid City
292,1639700,"Idaho Falls-Rexburg-Blackfoot, ID",287460,67996,Idaho,Idaho Falls
240,4224000,"Erie-Meadville, PA",349572,92953,Pennsylvania,Erie
266,2634000,"Grand Rapids-Wyoming, MI",1502552,196587,Michigan,Grand Rapids
408,3651000,"New York-Newark, NY-NJ-CT-PA",21859598,8258035,New York,New York
330,2646000,"Lansing-East Lansing-Owosso, MI",541202,111269,Michigan,Lansing
376,5553000,"Milwaukee-Racine-Waukesha, WI",2036833,561369,Wisconsin,Milwaukee
220,2622000,"Detroit-Warren-Ann Arbor, MI",5361927,633221,Michigan,Detroit
357,5548000,"Madison-Janesville-Beloit, WI",924543,280307,Wisconsin,Madison
106,4202000,"Allentown-Bethlehem-East Stroudsburg, PA-NJ",1039608,124871,Pennsylvania,Allentown
310,2642160,"Kalamazoo-Battle Creek-Portage, MI",456459,73122,Michigan,Kalamazoo
184,3916000,"Cleveland-Akron-Canton, OH",3732803,362670,Ohio,Cleveland
454,0659920,"Redding-Red Bluff, CA",245262,92718,California,Redding
466,1765000,"Rockford-Freeport-Rochelle, IL",428494,146219,Illinois,Rockford
428,4260000,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",7390919,1550542,Pennsylvania,Philadelphia
512,1973335,"Sioux City-Le Mars, IA-NE-SD",170124,85172,Iowa,Sioux City
515,1871000,"South Bend-Elkhart-Mishawaka, IN-MI",809876,100715,Indiana,South Bend
176,1714000,"Chicago-Naperville, IL-IN-WI",9794558,2664454,Illinois,Chicago
168,1912000,"Cedar Rapids-Iowa City, IA",455756,135960,Iowa,Cedar Rapids
430,4261000,"Pittsburgh-Weirton-Steubenville, PA-OH-WV",2727866,303254,Pennsylvania,Pittsburgh
258,1825000,"Fort Wayne-Huntington-Auburn, IN",657456,271629,Indiana,Fort Wayne
209,1919000,"Davenport-Moline, IA-IL",467817,100361,Iowa,Davenport
218,1921000,"Des Moines-West Des Moines-Ames, IA",917964,210363,Iowa,Des Moines
482,4967000,"Salt Lake City-Provo-Orem, UT-ID",2805734,209606,Utah,Salt Lake City
548,1150000,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",10069592,678972,District of Columbia,Washington
456,3260600,"Reno-Carson City-Gardnerville Ranchos, NV-CA",699307,274937,Nevada,Reno
